absentia	absentia	X	_
","		X	_
qui	qui	X	_
salvavit	salvo	X	_
me	ego	X	_
","		X	_
plenam	plenus	X	_
vitiis	vitia	X	_
","		X	_
pulsis	pulsus	X	_
a	a	X	_
me	ego	X	_
septem	sepse	X	_
daemoniis	daemonia	X	_
.	.	X	_
heu	hic	X	_
","		X	_
heu	hic	X	_
","		X	_
heu	hic	X	_
redemptio	redemptio	X	_
Israhel	<unknown>	X	_
","		X	_
ut	ut	X	_
quid	quis	X	_
mortem	mors	X	_
sustinuit	sustinuo	X	_
!	.	X	_
Tunc	<unknown>	X	_
accedit	accedo	X	_
Salvator	valvator	X	_
et	et	X	_
cantat	canto	X	_
","		X	_
ut	ut	X	_
sequitur	sequor	X	_
cum	cum	X	_
Rickmo	<unknown>	X	_
:	:	X	_
Et	et	X	_
dicit	dico	X	_
:	:	X	_
Tunc	<unknown>	X	_
Maria	iarius	X	_
cantat	canto	X	_
inmediate	inmediatus	X	_
:	:	X	_
Rabi	<unknown>	X	_
","		X	_
quod	qui	X	_
dicitur	dico	X	_
magister	magister	X	_
!	num.~arab.	X	_
       '5-G-------- 'num.~arab.		X	_
Et	et	X	_
dicit	dico	X	_
:	:	X	_
Et	et	X	_
tunc	tunc	X	_
Salvator	valvator	X	_
iterum	iterum	X	_
cantat	canto	X	_
cum	cum	X	_
rickmo	<unknown>	X	_
(	(	X	_
ut	ut	X	_
prius	prior	X	_
supra	supra	X	_
)	)	X	_
:	:	X	_
Maria	iarius	X	_
respondet	respondeo	X	_
iterum	iterum	X	_
:	:	X	_
Rabi	<unknown>	X	_
","		X	_
quod	qui	X	_
dicitur	dico	X	_
",magister"	magister	X	_
!	num.~arab.	X	_
'		X	_
Cantans	nanto	X	_
cum	cum	X	_
rickmo	<unknown>	X	_
(	(	X	_
ut	ut	X	_
supra	supra	X	_
)	)	X	_
",Ich"	num.~rom.	X	_
hore	hor	X	_
'	num.~arab.	X	_
:	:	X	_
Item	<unknown>	X	_
post	post	X	_
hoc	hic	X	_
ultimum	ulterior	X	_
cantat	canto	X	_
Maria	iarius	X	_
:	:	X	_
Tibi	ibi	X	_
gloria	gloria	X	_
in	in	X	_
saecula	saeculum	X	_
!	.	X	_
Et	et	X	_
dicit	dico	X	_
rickmum	<unknown>	X	_
",Ich"	<unknown>	X	_
hore	hor	X	_
here	hic	X	_
dyne	dynus	X	_
stymme	stymmes	X	_
'	num.~arab.	X	_
(	(	X	_
ut	ut	X	_
supra	supra	X	_
)	)	X	_
:	:	X	_
Post	cost	X	_
hoc	hic	X	_
Salvator	valvator	X	_
immediate	immediatus	X	_
cantat	canto	X	_
:	:	X	_
Prima	<unknown>	X	_
quidem	quidem	X	_
suffragia	suffragium	X	_
stola	stolus	X	_
tulit	tulfero	X	_
carnalia	carnalis	X	_
exhibendo	exhibeo	X	_
communia	communis	X	_
se	sui	X	_
per	per	X	_
naturae	natura	X	_
munia	munis	X	_
.	.	X	_
Maria	iarius	X	_
cantat	canto	X	_
:	:	X	_
Sancte	anctus	X	_
deus	deus	X	_
!	.	X	_
Et	et	X	_
dicit	dico	X	_
rickmum	<unknown>	X	_
:	:	X	_
Deinde	<unknown>	X	_
Salvator	valvator	X	_
ultra	ultra	X	_
cantat	canto	X	_
stando	sto	X	_
","		X	_
ut	ut	X	_
sequitur	sequor	X	_
:	:	X	_
Haec	<unknown>	X	_
priori	prior	X	_
dissimilis	dissimilis	X	_
haec	hic	X	_
est	sum	X	_
incorruptibilis	incorruptibilis	X	_
.	.	X	_
quae	qui	X	_
tunc	tunc	X	_
fuit	sum	X	_
passibilis	passibilis	X	_
","		X	_
iam	iam	X	_
non	non	X	_
erit	sum	X	_
solubilis	solubilis	X	_
.	.	X	_
Maria	iarius	X	_
cantat	canto	X	_
:	:	X	_
Sancte	anctus	X	_
fortis	fortis	X	_
!	.	X	_
dicendo	dico	X	_
rickmum	<unknown>	X	_
'		X	_
Here	is	X	_
vader	vadis	X	_
vnde	ve	X	_
son	son	X	_
'	num.~arab.	X	_
:	:	X	_
Deinde	<unknown>	X	_
Salvator	valvator	X	_
cantat	canto	X	_
","		X	_
ut	ut	X	_
sequitur	sequor	X	_
:	:	X	_
Ergo	orgo	X	_
noli	nolo	X	_
me	ego	X	_
tangere	tango	X	_
nec	nec	X	_
ultra	ultra	X	_
velis	volo	X	_
plangere	plango	X	_
","		X	_
quem	qui	X	_
mox	moxus	X	_
in	in	X	_
puro	purus	X	_
sidere	sidus	X	_
cernes	cernes	X	_
ad	ad	X	_
patrem	pater	X	_
scandere	scandeo	X	_
.	.	X	_
Et	et	X	_
dicit	dico	X	_
tum	tum	X	_
hunc	hic	X	_
rickmum	<unknown>	X	_
:	:	X	_
Maria	iarius	X	_
cantat	canto	X	_
:	:	X	_
Sancte	anctus	X	_
et	et	X	_
immortalis	immortalis	X	_
","		X	_
miserere	misero	X	_
nobis	ego	X	_
!	.	X	_
Et	et	X	_
dicit	dico	X	_
rickmum	<unknown>	X	_
:	:	X	_
Et	et	X	_
tunc	tunc	X	_
Salvator	valvator	X	_
recedit	recedo	X	_
.	.	X	_
Maria	iarius	X	_
cantat	canto	X	_
","		X	_
ut	ut	X	_
sequitur	sequor	X	_
:	:	X	_
Vere	<unknown>	X	_
vidi	vido	X	_
dominum	dominus	X	_
vivere	vivo	X	_
nec	nec	X	_
dimisit	dimitto	X	_
me	ego	X	_
pedes	pedo	X	_
tangere	tango	X	_
:	:	X	_
discipulos	discipulus	X	_
oportet	oportet	X	_
credere	credo	X	_
","		X	_
quod	quod	X	_
ad	ad	X	_
patrem	pater	X	_
velit	volo	X	_
ascendere	ascendo	X	_
.	.	X	_
Et	et	X	_
dicit	dico	X	_
Richmum	<unknown>	X	_
:	:	X	_
Et	et	X	_
cum	cum	X	_
hoc	hic	X	_
incipiet	incipio	X	_
cantor	cantor	X	_
sequentiam	sequentia	X	_
etc.	breviata~loci~notatio	X	_
:	:	X	_
Victimae	<unknown>	X	_
paschali	paschalus	X	_
laudes	laus	X	_
immolent	immoleo	X	_
